text,label
Invoice from Supplier A for $500. Please review the attached invoice.,invoice
Confidential legal contract between parties regarding non-disclosure.,legal
Monthly financial report for Q1 showing an increase in revenue.,report
Please pay this invoice within 30 days.,invoice
Legal brief for the upcoming court case v. Smith.,legal
Quarterly earnings report and balance sheet analysis.,report
Invoice number #10293 for consulting services.,invoice
The court orders a subpoena for the specified documents.,legal
Annual summary report of marketing expenditures.,report
Overdue invoice reminder - outstanding balance $1500.,invoice
